epsilon_zz,sigma_zz
-2.5e-05,-0.7180078764
-5e-05,-1.431697815
-7.5e-05,-2.14054497
-0.0001,-2.844073276
-0.000125,-3.541937692
-0.00015,-4.233847773
-0.000175,-4.919622414
-0.0002,-5.599102649
-0.000225,-6.272228435
-0.00025,-6.938937706
-0.000275,-7.599262043
-0.0003,-8.2532108
-0.000325,-8.900884424
-0.00035,-9.54234343
-0.000375,-10.1777388
-0.0004,-10.80716588
-0.000425,-11.43081136
-0.00045,-12.04879235
-0.000475,-12.66131929
-0.0005,-13.26852074
-0.000525,-13.87062135
-0.00055,-14.467753
-0.000575,-15.06014687
-0.0006,-15.64793185
-0.000625,-16.23133943
-0.00065,-16.81049054
-0.000675,-17.38561176
-0.0007,-17.95681214
-0.000725,-18.52430893
-0.00075,-19.0881961
-0.000775,-19.64867762
-0.0008,-20.20582975
-0.000825,-20.75983965
-0.00085,-21.31076365
-0.000875,-21.85876877
-0.0009,-22.40388963
-0.000925,-22.94627015
-0.00095,-23.48592172
-0.000975,-24.02296253
-0.001,-24.55737974
-0.001025,-25.08926366
-0.00105,-25.61857667
-0.001075,-26.14537967
-0.0011,-26.66961041
-0.001125,-27.19129963
-0.00115,-27.71036129
-0.001175,-28.22679614
-0.0012,-28.74049607
-0.001225,-29.25143303
-0.00125,-29.75947935
-0.001275,-30.26458042
-0.0013,-30.76659231
-0.001325,-31.26543702
-0.00135,-31.76095834
-0.001375,-32.25305882
-0.0014,-32.7415743
-0.001425,-33.22639247
-0.00145,-33.70734568
-0.001475,-34.18431155
-0.0015,-34.65712331
-0.001525,-35.12565328
-0.00155,-35.58973955
-0.001575,-36.04925367
-0.0016,-36.50404205
-0.001625,-36.95397947
-0.00165,-37.39892347
-0.001675,-37.83875555
-0.0017,-38.27334659
-0.001725,-38.70258762
-0.00175,-39.12636446
-0.001775,-39.54457999
-0.0018,-39.95713607
-0.001825,-40.3639492
-0.00185,-40.76493804
-0.001875,-41.16003409
-0.0019,-41.5491733
-0.001925,-41.93230312
-0.00195,-42.30937714
-0.001975,-42.68035949
-0.002,-43.04522153
-0.002025,-43.40394451
-0.00205,-43.75651757
-0.002075,-44.10293927
-0.0021,-44.44321638
-0.002125,-44.77736465
-0.00215,-45.10540807
-0.002175,-45.42737919
-0.0022,-45.7433186
-0.002225,-46.05327491
-0.00225,-46.35730433
-0.002275,-46.65547047
-0.0023,-46.94784394
-0.002325,-47.23450196
-0.00235,-47.51552796
-0.002375,-47.79101114
-0.0024,-48.06104595
-0.002425,-48.32573166
-0.00245,-48.58517181
-0.002475,-48.83947371
-0.0025,-49.08874791
-0.002525,-49.33310768
-0.00255,-49.5726685
-0.002575,-49.80754757
-0.0026,-50.0378633
-0.002625,-50.26373484
-0.00265,-50.4852817
-0.002675,-50.70262324
-0.0027,-50.91587835
-0.002725,-51.12516508
-0.00275,-51.33060029
-0.002775,-51.53229936
-0.0028,-51.73037597
-0.002825,-51.92494177
-0.00285,-52.1161063
-0.002875,-52.30397671
-0.0029,-52.48865766
-0.002925,-52.67025122
-0.00295,-52.8488567
-0.002975,-53.02457067
-0.003,-53.19748683
-0.003025,-53.36769601
-0.00305,-53.53528618
-0.003075,-53.70034239
-0.0031,-54.17362218
-0.003125,-60.77206419
-0.00315,-61.22539535
-0.003175,-61.66455791
-0.0032,-70.46942735
-0.003225,-70.84439785
-0.00325,-71.21616942
-0.003275,-71.58608613
-0.0033,-71.95337514
-0.003325,-72.31857243
-0.00335,-72.68139787
-0.003375,-73.04208102
-0.0034,-73.40052914
-0.003425,-73.75685245
-0.00345,-74.11103062
-0.003475,-74.46312583
-0.0035,-74.81314595
-0.003525,-75.16113294
-0.00355,-75.50710548
-0.003575,-75.80896053
-0.0036,-76.10888094
-0.003625,-76.40703213
-0.00365,-76.7033952
-0.003675,-76.9980055
-0.0037,-77.29088237
-0.003725,-77.5820486
-0.00375,-77.87152591
-0.003775,-78.15933541
-0.0038,-78.44549809
-0.003825,-78.73003428
-0.00385,-79.0129641
-0.003875,-79.29430716
-0.0039,-79.57408277
-0.003925,-79.85230982
-0.00395,-80.12900689
-0.003975,-80.40419218
-0.004,-80.67788357
-0.004025,-80.95009861
-0.00405,-81.22085451
-0.004075,-81.4901682
-0.0041,-81.75805628
-0.004125,-82.02453506
-0.00415,-82.28962056
-0.004175,-82.55332852
-0.0042,-82.8156744
-0.004225,-83.0766734
-0.00425,-83.33634045
-0.004275,-83.59469022
-0.0043,-83.85173713
-0.004325,-84.10749538
-0.00435,-84.36197889
-0.004375,-84.61520139
-0.0044,-84.86717635
-0.004425,-85.11791703
-0.00445,-85.36743648
-0.004475,-85.61574753
-0.0045,-85.86286279
-0.004525,-86.10879471
-0.00455,-86.35355549
-0.004575,-86.59715716
-0.0046,-86.83961157
-0.004625,-87.08093038
-0.00465,-87.32112504
-0.004675,-87.56020687
-0.0047,-87.79818697
-0.004725,-88.03507631
-0.00475,-88.27088568
-0.004775,-88.50562568
-0.0048,-88.7393068
-0.004825,-88.97193933
-0.00485,-89.20353343
-0.004875,-89.43409911
-0.0049,-89.66364622
-0.004925,-89.89218449
-0.00495,-90.11972348
-0.004975,-90.34627263
-0.005,-90.57184124
